age,experience_years,education_score,technical_score,communication_score,previous_salary,gender,race,university_tier,hired
25,2,78,85,92,45000,Female,Black,Tier2,0
32,8,92,88,85,75000,Male,White,Tier1,1
28,4,85,90,88,52000,Male,Asian,Tier1,1
35,12,88,92,90,82000,Male,White,Tier1,1
26,3,82,87,89,48000,Female,Hispanic,Tier2,0
29,5,90,85,91,58000,Female,White,Tier1,1
31,7,86,89,86,68000,Male,Black,Tier2,0
27,3,84,88,87,51000,Non-binary,Other,Tier3,0
33,9,91,94,92,78000,Male,White,Tier1,1
24,1,75,82,85,42000,Female,Black,Tier3,0
36,14,89,91,88,85000,Male,Asian,Tier1,1
30,6,87,86,90,62000,Female,Hispanic,Tier2,1
28,4,83,89,84,55000,Male,White,Tier2,1
26,2,81,85,88,47000,Female,Black,Tier2,0
34,10,90,93,91,80000,Male,White,Tier1,1
29,5,86,87,89,59000,Female,Asian,Tier1,0
32,8,88,90,87,72000,Male,Hispanic,Tier2,1
27,3,79,84,86,49000,Female,Other,Tier3,0
31,7,85,88,88,65000,Male,Black,Tier2,0
25,2,77,83,90,44000,Female,White,Tier2,0
35,12,92,95,93,83000,Male,White,Tier1,1
28,4,84,86,85,53000,Female,Asian,Tier1,0
30,6,89,91,89,67000,Male,White,Tier1,1
26,3,80,85,87,50000,Female,Hispanic,Tier3,0
33,9,87,89,90,75000,Male,Asian,Tier2,1
29,5,85,88,86,61000,Female,Black,Tier2,0
32,8,90,92,91,74000,Male,White,Tier1,1
27,3,82,84,88,48000,Female,Other,Tier3,0
34,11,91,94,92,81000,Male,White,Tier1,1
25,2,76,81,84,43000,Female,Black,Tier3,0
36,13,88,90,89,86000,Male,Asian,Tier1,1
28,4,83,87,87,54000,Female,Hispanic,Tier2,0
31,7,86,89,88,66000,Male,Black,Tier2,1
29,5,84,85,86,57000,Female,White,Tier2,0
33,10,89,93,91,77000,Male,White,Tier1,1
26,3,81,86,89,51000,Female,Asian,Tier2,0
30,6,87,88,87,63000,Male,Hispanic,Tier2,1
27,3,78,83,85,46000,Female,Other,Tier3,0
35,12,90,92,90,84000,Male,White,Tier1,1
24,1,74,80,83,41000,Female,Black,Tier3,0
32,9,91,94,93,76000,Male,Asian,Tier1,1
28,4,82,85,86,52000,Female,Hispanic,Tier2,0
31,8,88,90,89,69000,Male,White,Tier1,1
26,2,79,84,87,47000,Female,Black,Tier2,0
34,11,89,91,88,79000,Male,White,Tier1,1
29,5,85,87,88,60000,Female,Asian,Tier1,0
33,9,86,89,87,73000,Male,Hispanic,Tier2,1
27,3,80,82,86,45000,Female,Other,Tier3,0
36,14,92,95,94,87000,Male,White,Tier1,1
25,2,75,81,84,44000,Female,Black,Tier3,0
